Field=LibRef~String~LibRef~69|Field=Description~String~Description~44|Field=Designator~String~Designator~520|Field=Value~String~Value~66|Field=Dielectric~String~Dielectric~77|Field=DocumentNumber~String~DocumentNumber~80|Field=Model~String~Model~102|Field=Pitch~String~Pitch~20|Field=Quantity~Integer~Quantity~20|Field=Voltage~String~Voltage~20|Field=Working voltage~String~Working voltage~28|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~up_down_converter.PrjPcb|ReportField=ProjectFullPath~C:\ownclowd\MySkyShared\Hardware_design\RF_front_end\up_down_converter.PrjPcb|ReportField=Title~BOM_PartType For Project [up_down_converter.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~802|ReportField=ReportTime~8:18:53 AM|ReportField=ReportDate~27/11/2018|ReportField=ReportDateTime~27/11/2018 8:18:53 AM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~19|ReportField=Time~|ReportField=Title~TOP|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~up_down_converter.PrjPcb|ReportField=DataSourceFullPath~C:\ownclowd\MySkyShared\Hardware_design\RF_front_end\up_down_converter.PrjPcb
minicircuits_CBP-1820F+|Mini-Circuits band pass filter 1680-1960 MHz|BPF1, BPF5|||3, 18|||2||
Header2|Header 2 pins|HDR15, HDR16, HDR17, HDR18, HDR19, HDR20, HDR21, HDR22, HDR23, HDR24, HDR25, HDR26, HDR27, HDR28, HDR29, HDR30, HDR31, HDR32, HDR33, HDR34, HDR35, HDR36, HDR37, HDR38, HDR39, HDR40|||2|||26||
Header6|Header 6 pins|HDR41, HDR45, HDR47, HDR50|||3, 3, 18, 18|||4||
minicircuits_HFCN-8400+||HPF1_U_subckt_RF1_filter_bank1, HPF1_U_subckt_RF1_filter_bank2|||14|||2||
minicircuits_XHF2-1162+|HPF 11.6GHz-30GHz|HPF2_U_subckt_RF1_filter_bank1, HPF2_U_subckt_RF1_filter_bank2, HPF3_U_subckt_RF1_filter_bank1, HPF3_U_subckt_RF1_filter_bank2|||14|||4||
minicircuits_HFCN-1322+|HPF 14.3GHZ-18.5GHZ|HPF4_U_subckt_RF1_filter_bank1, HPF4_U_subckt_RF1_filter_bank2|||14|||2||
knowles_H160XHXS|HPF 16GHz|HPF5_U_subckt_RF1_filter_bank1, HPF5_U_subckt_RF1_filter_bank2|||14|||2||
minicircuits_HFCN-6010+|HPF 6.3GHz-15GHz|HPF6, HPF7|||15, 19|||2||
Inductor|Inductor|L3, L17|3.3nH||4, 17|||2||
Inductor|Inductor|L4, L20, L21|1.3uH||4, 18, 18|4310LC-132KEB, Coilcraft 4310LC-132KEB, Coilcraft 4310LC-132KEB||3||
Inductor|Inductor|L5, L6, L7, L8, L18, L19|220nH||5, 5, 5, 5, 16, 16|BCR-221JLB||6||
Inductor|Inductor|L9_U_subckt_3V3_SMPS1, L9_U_subckt_3V3_SMPS2, L9_U_subckt_3V3_SMPS3, L9_U_subckt_3V3_SMPS4|6.8uH||6|XAL5050-682MEB||4||
Inductor|Inductor|L10_U_subckt_SMPS_EMI_filter1, L10_U_subckt_SMPS_EMI_filter2, L10_U_subckt_SMPS_EMI_filter3, L10_U_subckt_SMPS_EMI_filter4, L10_U_subckt_SMPS_EMI_filter5, L11_U_subckt_SMPS_EMI_filter1, L11_U_subckt_SMPS_EMI_filter2, L11_U_subckt_SMPS_EMI_filter3, L11_U_subckt_SMPS_EMI_filter4, L11_U_subckt_SMPS_EMI_filter5, L15_U_subckt_LDO_EMI_filter1, L15_U_subckt_LDO_EMI_filter2, L16_U_subckt_LDO_EMI_filter1, L16_U_subckt_LDO_EMI_filter2|1.5uH||10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 9, 9, 9|SRN5040TA-1R5M, SRN5040TA-1R5M, SRN5040TA-1R5M, SRN5040TA-1R5M, SRN5040TA-1R5M, SRN5040TA-1R5M, SRN5040TA-1R5M, SRN5040TA-1R5M, SRN5040TA-1R5M, SRN5040TA-1R5M, LBC3225T1R5MR, LBC3225T1R5MR, LBC3225T1R5MR, LBC3225T1R5MR||14||
Inductor|Inductor|L12, L13, L?_LNA_HMC8410_1, L?_LNA_HMC8410_1, L?_LNA_HMC8410_2, L?_LNA_HMC8410_2, L?_LNA_HMC84101, L?_LNA_HMC84101, L?_LNA_HMC84102, L?_LNA_HMC84102, L?_LNA_HMC84103, L?_LNA_HMC84103|1.2uH||3, 3, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12|BCL-122JL||12||
Inductor|Inductor|L14|2.2uH||8|XAL5030-222MEB||1||
LP3985|LDO 150mA|LDO1, LDO2, LDO3, LDO5, LDO6, LDO7|||4, 5, 3, 18, 17, 16|LP3985IM5-3.3/NOPB||6|3V3|
LP2992|LDO 5V 250mA|LDO4|||7|||1||
minicircuits_LFCN-8440+|LPF 8440MHz|LPF1_U_subckt_RF1_filter_bank1, LPF1_U_subckt_RF1_filter_bank2|||14|||2||
minicircuits_LFCW-1062+|LPF 10.6GHz|LPF2_U_subckt_RF1_filter_bank1, LPF2_U_subckt_RF1_filter_bank2|||14|||2||
minicircuits_LFCW-133+|LPF 13.25GHz|LPF3_U_subckt_RF1_filter_bank1, LPF3_U_subckt_RF1_filter_bank2|||14|||2||
minicircuits_XLF-133+|LPF 13.1GHz|LPF4_U_subckt_RF1_filter_bank1, LPF4_U_subckt_RF1_filter_bank2|||14|||2||
minicircuits_XLF-173+|LPF 17.0GHz|LPF5_U_subckt_RF1_filter_bank1, LPF5_U_subckt_RF1_filter_bank2|||14|||2||
minicircuits_LFCN-8400+|LPF 8400MHz|LPF6, LPF8|||15, 19|||2||
minicircuits_LFCN-6000+|LPF 6000MHz|LPF7, LPF9|||15, 19|||2||
Power PMOS|P-Channel Power MOSFET|Q1|||2|DMP6023LE||1||
